lat,lon,mean_annual_rf,std_annual,cv,dry_days,heavy_days,rf_norm,cv_norm,dry_norm,heavy_norm,scri,risk_tier,scri_z
10.0,78.25,898.46185,323.44247,0.35999578,279.2307692307692,0.0512820512820512,0.09289640283471369,0.9615117765160004,0.41507996956437154,0.9981768459441304,0.600807070378321,High,0.01693368628020267
10.0,78.5,962.80145,372.63623,0.3870333,279.8205128205128,0.1025641025641025,0.09972544585263653,0.9570329655368228,0.41216044684301323,0.9963536918882607,0.6006963874806645,High,0.015001762089532855
10.0,78.75,991.34406,339.4458,0.34240967,280.05128205128204,0.1282051282051282,0.10275497527982902,0.9644249454216184,0.41101802490856865,0.995442114860326,0.6029968626361485,High,0.055155604254957497
10.0,79.0,1023.0574,323.80197,0.3165042,291.6666666666667,0.4615384615384615,0.10612104785569229,0.9687162304010379,0.3535161208748576,0.9835916134971735,0.5906164995062321,Moderate,-0.1609385125992228
10.25,76.0,2989.8289,702.8031,0.23506466,211.89743589743588,1.6923076923076923,0.31487533261849165,0.9822068281293492,0.7484133028812032,0.9398359161563027,0.7246559464332012,Critical,2.178664583315922
10.25,76.25,2983.891,571.7168,0.1916011,210.6153846153846,1.564102564102564,0.3142450804171083,0.9894066404539317,0.7547600914058954,0.9443938012959767,0.7286756528437888,Critical,2.2488268958178876
10.25,76.5,3060.219,862.5624,0.28186294,194.46153846153845,1.6153846153846154,0.3223465792680806,0.9744546137890315,0.8347296268170165,0.9425706472401071,0.7429062144011122,Critical,2.497215460821926
10.25,76.75,3424.2986,1134.2211,0.33122727,198.15384615384616,3.1538461538461537,0.3609902023298984,0.9662773289203104,0.816450875865903,0.8878760255640186,0.7351255744932323,Critical,2.361407609968926
10.25,77.0,2183.8027,1255.505,0.57491684,203.46153846153845,1.1794871794871795,0.22932323727794138,0.9259097389332456,0.7901751713736775,0.9580674567149988,0.697826304370179,Critical,1.7103642801436607
10.25,77.25,1419.9417,361.99963,0.2549398,241.30769230769232,0.4358974358974359,0.14824658108620958,0.9789144775274933,0.6028179741247652,0.9845031905251083,0.6558919861639663,High,0.9784181034797056
10.25,77.5,1144.9479,487.75037,0.42600223,275.87179487179486,0.5641025641025641,0.11905857727732565,0.9505776962839179,0.43170855549906506,0.9799453053854342,0.6046900347003488,High,0.0847092221945953
10.25,77.75,920.34576,298.7643,0.32462183,278.05128205128204,0.1282051282051282,0.09521917392421925,0.9673715312433895,0.4209190150070884,0.995442114860326,0.6034529667046123,High,0.06311671208628825
10.25,78.0,1013.20404,346.35214,0.34183848,277.87179487179486,0.2051282051282051,0.10507520642504802,0.964519564012495,0.4218075654005453,0.9927073837765216,0.6051908119548776,High,0.09345008200803372
10.25,78.25,845.52704,368.80728,0.43618625,279.1794871794872,0.0,0.08727787094089447,0.9488906961230982,0.4153338411053592,1.0,0.5964728035341147,Moderate,-0.05871914846144266
10.25,78.5,982.73627,362.47717,0.3688448,277.3076923076923,0.1538461538461538,0.10184133938219761,0.9600459213661582,0.4246001523514097,0.9945305378323912,0.6041165470845786,High,0.07469923310492191
10.25,78.75,947.7861,412.48883,0.435213,294.46153846153845,0.1794871794871795,0.09813170776475336,0.94905191663391,0.3396801218910289,0.9936189608044563,0.5830432560672234,Moderate,-0.29312634388501985
10.25,79.0,1039.9127,392.06073,0.37701312,294.2564102564103,0.5897435897435898,0.10791007931967396,0.9586928253241603,0.34069560805497945,0.9790337283574994,0.584943783827313,Moderate,-0.25995341805370803
10.25,79.25,1231.1049,299.3449,0.24315143,281.79487179487177,0.6666666666666666,0.1282033319742025,0.9808672409829658,0.4023863925149874,0.976298997273695,0.6082298376594235,High,0.14649501847957352
10.5,76.0,2767.5186,586.38916,0.21188265,223.48717948717947,1.794871794871795,0.2912791865120917,0.9860469673472733,0.6910383346179862,0.9361896080445634,0.706150566725184,Critical,1.8556608359224276
10.5,76.25,2649.5156,555.1142,0.20951535,218.8205128205128,0.9487179487179488,0.27875427862886043,0.9864391146015705,0.7141406448478658,0.9662716499664121,0.714632103700227,Critical,2.0037025551317074
