lat,lon,mean_annual_rf,std_annual,cv,dry_days,heavy_days
12.25,78.5,925.6899,255.7686,0.27630052,283.64102564102564,0.1794871794871795
12.25,78.75,936.3009,256.03574,0.27345455,284.4871794871795,0.1538461538461538
12.25,79.0,979.76904,246.77689,0.2518725,286.05128205128204,0.2564102564102564
12.25,79.25,1089.3165,460.5438,0.42278233,301.7692307692308,0.8205128205128205
12.25,79.5,1114.7798,425.4425,0.38163817,300.56410256410254,0.9743589743589745
12.25,79.75,1059.2758,507.48694,0.4790886,294.5128205128205,0.8461538461538461
12.5,75.0,3650.645,569.4011,0.15597275,196.66666666666663,1.9230769230769231
12.5,75.25,4106.8447,711.3711,0.17321597,197.76923076923077,4.3076923076923075
12.5,75.5,3674.2437,574.44867,0.15634474,201.0,3.769230769230769
12.5,75.75,1361.2788,553.79645,0.40682074,241.05128205128204,0.1025641025641025
12.5,76.0,863.47015,345.0141,0.39956692,267.2564102564103,0.0256410256410256
12.5,76.25,778.9672,186.7646,0.23975925,272.43589743589746,0.0256410256410256
12.5,76.5,732.0073,205.3205,0.28048968,295.28205128205127,0.1538461538461538
12.5,76.75,724.9306,218.04773,0.3007843,286.5897435897436,0.0769230769230769
12.5,77.0,1097.1113,426.89798,0.3891109,277.02564102564105,0.2307692307692307
12.5,77.25,802.38965,229.31323,0.28578788,292.87179487179486,0.0512820512820512
12.5,77.5,829.3892,280.5384,0.33824697,283.4871794871795,0.0256410256410256
12.5,77.75,783.56085,240.16354,0.30650273,286.1794871794872,0.1025641025641025
12.5,78.0,913.855,196.93372,0.21549778,287.20512820512823,0.1794871794871795
12.5,78.25,853.3536,240.69714,0.28206027,282.56410256410254,0.1538461538461538
12.5,78.5,810.33685,282.75705,0.34893766,290.7435897435897,0.1794871794871795
12.5,78.75,917.0727,325.7974,0.355258,282.0,0.1282051282051282
12.5,79.0,1059.5537,296.53,0.27986312,287.6923076923077,0.282051282051282
12.5,79.25,1072.9237,366.30795,0.341411,284.3076923076923,0.3333333333333333
12.5,79.5,1087.6823,361.94977,0.3327716,287.46153846153845,0.6153846153846154
12.5,79.75,1143.1757,433.40344,0.37912235,290.84615384615387,1.0256410256410255
12.5,80.0,1324.0078,359.96307,0.27187383,282.20512820512823,1.2564102564102564
12.75,74.75,3884.7388,514.836,0.13252783,205.66666666666663,3.6153846153846154
12.75,75.0,3974.4932,603.9462,0.15195553,204.07692307692307,3.948717948717949
12.75,75.25,4042.0925,702.40283,0.17377208,202.5897435897436,3.2051282051282053
12.75,75.5,3491.0032,844.5165,0.24191226,201.84615384615384,3.2564102564102564
12.75,75.75,1556.1393,343.05872,0.22045502,237.89743589743588,0.1025641025641025
12.75,76.0,903.4926,254.88202,0.28210747,270.2307692307692,0.0256410256410256
12.75,76.25,818.05365,156.6617,0.1915054,270.87179487179486,0.0256410256410256
12.75,76.5,860.2487,365.30817,0.42465413,267.5128205128205,0.0256410256410256
12.75,76.75,919.29706,451.84476,0.49151117,287.1025641025641,0.0512820512820512
12.75,77.0,868.0638,213.62029,0.24608824,284.15384615384613,0.0256410256410256
12.75,77.25,887.2878,220.65703,0.2486871,293.6923076923077,0.1538461538461538
12.75,77.5,846.8633,250.35893,0.29563087,285.12820512820514,0.1282051282051282
12.75,77.75,707.6204,250.85239,0.35450134,292.3333333333333,0.1025641025641025
12.75,78.0,806.92017,218.81456,0.2711725,290.0769230769231,0.2051282051282051
12.75,78.25,880.1087,236.89305,0.2691634,294.20512820512823,0.1794871794871795
12.75,78.5,850.64185,304.7695,0.35828182,294.28205128205127,0.2051282051282051
12.75,78.75,929.15375,319.03198,0.3433576,281.9230769230769,0.2051282051282051
12.75,79.0,1085.029,313.09094,0.28855535,278.0,0.2307692307692307
12.75,79.25,1124.6735,300.4835,0.26717398,284.46153846153845,0.4871794871794871
12.75,79.5,1198.9412,408.20596,0.34047204,284.28205128205127,0.7692307692307693
12.75,79.75,1185.0312,411.02325,0.34684592,289.46153846153845,0.9743589743589745
12.75,80.0,1307.1885,331.4326,0.25354615,285.56410256410254,1.3076923076923077
13.0,74.75,3706.9136,624.53955,0.16847967,228.30769230769232,5.358974358974359
13.0,75.0,4111.131,664.83936,0.16171691,211.51282051282053,5.435897435897436
13.0,75.25,4070.6199,635.6546,0.1561567,207.97435897435895,3.41025641025641
13.0,75.5,2341.4583,738.806,0.31553245,223.1282051282051,1.4871794871794872
13.0,75.75,1589.7578,408.58762,0.2570125,237.97435897435895,0.3333333333333333
13.0,76.0,863.3171,396.0974,0.45880872,290.02564102564105,0.1794871794871795
13.0,76.25,832.4147,211.26424,0.25379688,290.61538461538464,0.2307692307692307
13.0,76.5,741.658,289.3478,0.39013642,291.64102564102564,0.0256410256410256
13.0,76.75,811.22644,228.58078,0.28177187,290.5897435897436,0.1282051282051282
13.0,77.0,893.9022,204.48204,0.22875214,276.87179487179486,0.1794871794871795
13.0,77.25,859.6745,231.7352,0.26956156,281.20512820512823,0.0512820512820512
13.0,77.5,831.28937,305.72452,0.36777148,281.4871794871795,0.2564102564102564
13.0,77.75,870.1078,375.25967,0.43127954,299.4871794871795,0.1794871794871795
13.0,78.0,853.1364,257.9175,0.30231684,299.7692307692308,0.1794871794871795
13.0,78.25,844.34796,268.32355,0.3177879,292.4871794871795,0.1025641025641025
13.0,78.5,921.1275,229.14638,0.24876727,277.84615384615387,0.1282051282051282
13.0,78.75,1018.45795,264.19598,0.25940785,286.79487179487177,0.4615384615384615
13.0,79.0,1037.6085,275.7834,0.2657875,280.8205128205128,0.3076923076923077
